Total Males Females Infected
5 3 2 0
5 3 2 0
7 4 3 0
9 5 4 0
12 7 5 0
16 9 7 0
21 10 11 0
28 14 14 0
39 20 19 1
52 24 28 2
68 32 36 4
85 43 42 9
109 55 54 18
131 71 60 36
149 77 72 72
150 78 72 142
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
150 78 72 150
149 77 72 149
144 75 69 144
139 74 65 139
132 70 62 132
121 64 57 121
108 60 48 108
92 52 40 92
70 38 32 70
46 26 20 46
22 9 13 22
2 2 0 2
0 0 0 0
